,Title,Gross,Budget,Date,Genre,Director,RT Rating,IMDB Rating,IMDB Votes
446,Howard the Duck,16295774,30000000.0,1986,Action,,16.0,4.1,16051.0
447,High Anxiety,31063038,3400000.0,1977,,Mel Brooks,73.0,6.5,7025.0
448,Hybrid,162605,200000.0,2002,Documentary,,,2.2,380.0
449,It's a Wonderful Life,6600000,3180000.0,1946,,Frank Capra,94.0,8.7,101499.0
450,The Ice Pirates,13075390,9000000.0,1984,Comedy,,11.0,5.1,3600.0
451,Independence Day,817400878,75000000.0,1996,Adventure,Roland Emmerich,61.0,6.5,149493.0
452,The Island of Dr. Moreau,27682712,40000000.0,1996,Adventure,John Frankenheimer,23.0,4.1,13770.0
453,Iraq for Sale: The War Profiteers,0,775000.0,2006,Documentary,,100.0,7.8,854.0
454,In Her Line of Fire,884,1000000.0,2006,Action,,,3.5,337.0
455,The Indian in the Cupboard,35627222,45000000.0,1995,Adventure,Frank Oz,68.0,5.7,4836.0
456,I Love You Ã– Don't Touch Me!,33598,68000.0,1998,,,,5.6,298.0
457,Illuminata,836641,10000000.0,1999,Drama,,,6.1,1100.0
458,In Cold Blood,13000000,3500000.0,1967,,Richard Brooks,88.0,8.1,10562.0
459,In the Company of Men,2883661,25000.0,1997,Drama,Neil LaBute,89.0,7.2,7601.0
460,The Inkwell,8864699,8000000.0,1994,Comedy,,29.0,5.7,542.0
461,Invaders from Mars,4984663,12000000.0,1986,Horror,Tobe Hooper,27.0,5.0,1933.0
462,L'incomparable mademoiselle C.,493905,3400000.0,2004,,,,6.1,66.0
463,The Island,15716828,22000000.0,1980,Adventure,Michael Ritchie,,6.9,82601.0
464,Eye See You,1807990,55000000.0,2002,,,,5.1,397.0
465,In the Heat of the Night,24379978,2000000.0,1967,,Norman Jewison,96.0,8.1,22429.0
466,Jack,58617334,45000000.0,1996,Drama,Francis Ford Coppola,17.0,5.3,17267.0
467,Jade,9812870,50000000.0,1995,Thriller/Suspense,William Friedkin,16.0,4.8,5279.0
468,Jingle All the Way,129832389,60000000.0,1996,Comedy,Brian Levant,16.0,4.9,22928.0
469,Dr. No,59567035,1000000.0,1963,Action,,,7.3,36019.0
470,The Jungle Book,44342956,27000000.0,1994,Adventure,Stephen Sommers,,5.8,5564.0
471,Judge Dredd,113487912,85000000.0,1995,Action,,15.0,4.9,30736.0
472,The Jerky Boys,7555256,4000000.0,1995,Comedy,,10.0,3.9,1481.0
473,Jefferson in Paris,2461628,14000000.0,1995,Drama,James Ivory,36.0,5.6,1464.0
474,JFK,205400000,40000000.0,1991,Drama,Oliver Stone,83.0,8.0,59684.0
475,Journey from the Fall,635305,1300000.0,2007,Drama,,92.0,7.2,586.0
476,Jekyll and Hyde... Together Again,3707583,5000000.0,1982,Comedy,,,5.5,486.0
477,Jumanji,262758310,65000000.0,1995,Adventure,Joe Johnston,48.0,6.4,54973.0
478,The Juror,22730924,44000000.0,1996,Thriller/Suspense,,16.0,5.3,6482.0
479,Jerusalema,7294,2000000.0,2010,,,,7.9,6777.0
480,Jurassic Park,923067947,63000000.0,1993,Action,Steven Spielberg,87.0,7.9,151365.0
481,Johnny Suede,55000,500000.0,1991,Drama,,,5.8,1587.0
482,Jaws,470700000,12000000.0,1975,Horror,Steven Spielberg,100.0,8.3,138017.0
483,Jaws 2,208900376,20000000.0,1978,Horror,,56.0,5.6,18793.0
484,Jaws 4: The Revenge,15728335,23000000.0,1987,Horror,,,2.6,15632.0
485,Kabhi Alvida Naa Kehna,32575443,10750000.0,2006,Drama,,67.0,5.6,4128.0
486,Kickboxer,14533681,1500000.0,1989,Action,Mark DiSalle,,5.5,11692.0
487,Kids,20412216,1500000.0,1995,Drama,,50.0,6.7,26122.0
488,Kingpin,32223424,25000000.0,1996,Comedy,Bobby Farrelly,51.0,6.7,28404.0
489,Kindergarten Cop,202000000,26000000.0,1990,Comedy,Ivan Reitman,50.0,5.8,40433.0
490,King Kong (1933),10000000,670000.0,1933,,,,,
491,King Kong,90614445,23000000.0,1976,,John Guillermin,46.0,7.6,132720.0
492,Kiss of Death,14942422,40000000.0,1995,Drama,Barbet Schroeder,67.0,7.6,2374.0
493,The Kings of Appletown,0,7000000.0,2008,Action,,,,
494,Koltchak,38585047,20000000.0,2008,,,,,
495,Kingdom of the Spiders,17000000,500000.0,1977,,,44.0,5.7,1463.0
496,Keeping it Real: The Adventures of Greg Walloch,1358,100000.0,2001,,,,,
497,Akira,19585,8000000.0,2001,Action,,,7.9,39948.0
498,Krush Groove,11052713,3000000.0,1985,Drama,,,5.8,588.0
499,Krrish,32430721,10000000.0,2006,Action,,100.0,6.1,2735.0
500,Kansas City,1353824,19000000.0,1996,Drama,Robert Altman,58.0,6.0,2397.0
501,The Last Emperor,43984000,25000000.0,1987,Drama,Bernardo Bertolucci,91.0,7.9,24262.0
502,Last Action Hero,137298489,85000000.0,1993,Action,John McTiernan,38.0,5.9,43171.0
503,Live and Let Die,161800000,7000000.0,1973,Action,Guy Hamilton,64.0,6.8,24044.0
504,Lage Raho Munnabhai,31517561,2700000.0,2006,Comedy,,,7.8,5236.0
505,The Last Waltz,321952,35000.0,2002,,,,8.0,6893.0
506,The Last Big Thing,22434,1000000.0,1998,,,,6.0,139.0
507,The Land Before Time,81972846,12300000.0,1988,Adventure,Don Bluth,71.0,6.9,14017.0
508,The Longest Day,50100000,10000000.0,1962,Action,,92.0,7.8,17712.0
509,The Living Daylights,191200000,40000000.0,1987,Action,John Glen,73.0,6.7,23735.0
510,Aladdin,504050219,28000000.0,1992,Comedy,,,7.8,69090.0
511,A Low Down Dirty Shame,29317886,10000000.0,1994,Action,Keenen Ivory Wayans,,5.4,1847.0
512,Love and Death on Long Island,2542264,4030000.0,1998,Drama,,,6.9,2506.0
513,Ladyhawke,18400000,20000000.0,1985,Action,Richard Donner,63.0,6.7,15260.0
514,Nikita,5017971,7000000.0,1991,Thriller/Suspense,Luc Besson,,7.5,24872.0
515,Lion of the Desert,1500000,35000000.0,1980,,,,7.8,2659.0
516,Legal Eagles,49851591,40000000.0,1986,Comedy,Ivan Reitman,50.0,5.6,4471.0
517,Legend,15502112,25000000.0,1986,Adventure,Ridley Scott,,6.1,20734.0
518,The Last House on the Left,3100000,87000.0,1972,,,63.0,6.7,22141.0
519,Lifeforce,11603545,25000000.0,1985,Horror,Tobe Hooper,57.0,5.8,5727.0
520,Lady in White,1705139,4700000.0,1988,Horror,,73.0,6.6,2221.0
521,The Long Kiss Goodnight,33447612,65000000.0,1996,Action,Renny Harlin,69.0,6.6,28257.0
522,Lake of Fire,25317,6000000.0,2007,Documentary,,,8.4,1027.0
523,Elling,313436,2100000.0,2002,,,,7.5,7114.0
524,Lolita (1962),9250000,2000000.0,1962,Drama,Stanley Kubrick,,,
525,Elmer Gantry,10400000,3000000.0,1960,,Richard Brooks,96.0,7.8,4185.0
526,El Mariachi,2040920,7000.0,1993,Action,Robert Rodriguez,,7.0,19668.0
527,Last Man Standing,18115927,67000000.0,1996,Action,Walter Hill,,,
528,Aliens,183316455,17000000.0,1986,Action,James Cameron,100.0,7.5,84.0
529,AlienÂ³,158500000,55000000.0,1992,Action,David Fincher,37.0,6.3,78860.0
530,The Lion King,783839505,79300000.0,1994,Adventure,Rob Minkoff,92.0,8.2,136503.0
531,Love and Death,20123742,3000000.0,1975,Comedy,Woody Allen,100.0,7.6,12111.0
532,Love and Other Catastrophes,743216,250000.0,1997,Comedy,,,5.7,1406.0
533,Love Letters,5269990,550000.0,1984,Thriller/Suspense,,,7.3,477.0
534,The Legend of the Lone Ranger,13400000,18000000.0,1981,Western,,,4.6,755.0
535,The Last of the Mohicans,72455275,40000000.0,1992,Action,Michael Mann,97.0,7.8,45410.0
536,Love Me Tender,9000000,1000000.0,1956,,,38.0,5.9,1301.0
537,The Long Riders,15198912,10000000.0,1980,Action,Walter Hill,79.0,7.1,3791.0
538,Losin' It,1246141,7000000.0,1983,,,,4.6,1668.0
539,The Loss of Sexual Innocence,399793,4000000.0,1999,,Mike Figgis,45.0,4.9,2263.0
540,Legends of the Fall,66502573,30000000.0,1994,Drama,Edward Zwick,63.0,7.1,39815.0
541,A League of Their Own,132440066,40000000.0,1992,Comedy,Penny Marshall,81.0,6.9,33426.0
542,Loaded Weapon 1,27979399,13000000.0,1993,Comedy,,,5.7,17637.0
543,The Lost Weekend,11000000,1250000.0,1945,,Billy Wilder,100.0,8.2,11864.0
544,Le petit Nicolas,52339566,30000000.0,2010,,,,6.9,1505.0
545,Logan's Run,25000000,7000000.0,1976,,,70.0,6.7,14947.0
546,Betty Fisher et autres histoires,206400,7500000.0,2002,Drama,,,6.9,1054.0
547,Light Sleeper,1050861,5000000.0,1992,,,94.0,6.7,1986.0
548,Little Shop of Horrors,38747385,30000000.0,1986,Musical,Frank Oz,91.0,6.6,21521.0
549,Lone Star,12961389,5000000.0,1996,Drama,John Sayles,92.0,7.6,14599.0
550,Latter Days,833118,850000.0,2004,Drama,,,7.4,7157.0
551,Lethal Weapon,120192350,15000000.0,1987,Action,Richard Donner,90.0,7.6,54994.0
552,Lethal Weapon 3,319700000,35000000.0,1992,Action,Richard Donner,56.0,6.5,39735.0
553,The Last Time I Committed Suicide,12836,4000000.0,1997,,,,5.7,1181.0
554,Little Voice,4595000,6000000.0,1998,Musical,,83.0,6.9,8453.0
555,The Last Temptation of Christ,8373585,7000000.0,1988,Drama,Martin Scorsese,83.0,7.5,20934.0
556,License to Kill,156167015,42000000.0,1989,Action,John Glen,,6.5,24558.0
557,Cama adentro,200433,800000.0,2007,Drama,,,7.2,466.0
558,Leaving Las Vegas,49800000,4000000.0,1995,Drama,Mike Figgis,89.0,7.6,42131.0
559,The Lawnmower Man,32100816,10000000.0,1992,Action,,47.0,5.1,12607.0
560,Lone Wolf McQuade,12232628,5000000.0,1983,Action,,,5.8,2917.0
561,Little Women,50003303,15000000.0,1994,Drama,,89.0,7.1,16514.0
562,Lawrence of Arabia,69995385,15000000.0,1962,Adventure,David Lean,98.0,8.6,79421.0
563,Menace II Society,27731527,3500000.0,1993,Action,Albert Hughes,85.0,7.4,14807.0
564,Much Ado About Nothing,22549338,8000000.0,1993,Drama,Kenneth Branagh,90.0,7.4,22470.0
565,Major Dundee,14873,3800000.0,1965,Western,,97.0,6.7,2588.0
566,Mata Hari,900000,558000.0,1931,,,,2.2,376.0
567,Malcolm X,48169910,35000000.0,1992,Drama,Spike Lee,90.0,7.7,23062.0
568,Maniac,10000000,350000.0,1980,,,,6.2,3281.0
569,Mary Poppins,102300000,6000000.0,1964,Musical,,100.0,7.7,34302.0
570,Mary Reilly,6370115,47000000.0,1996,Drama,Stephen Frears,27.0,5.5,6864.0
571,Maximum Risk,51702929,25000000.0,1996,Action,,29.0,4.9,7064.0
572,M*A*S*H,81600000,3500000.0,1970,,Robert Altman,,8.6,8043.0
573,The Mask,343900000,18000000.0,1994,Comedy,Chuck Russell,75.0,6.6,72981.0
